TimeStamp,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
303616.4551,1.52173913,10.9673913,2.032608696,-1.770992366,1.664122137,0.519083969
303636.4441,1.47826087,10.98913043,2.076086957,-1.312977099,1.496183206,0.671755725
303656.4331,1.423913043,11.07608696,2.086956522,-1.267175573,1.374045802,0.610687023
303676.4221,1.369565217,11.06521739,2.086956522,-2.702290076,0.687022901,0.427480916
303616.4551,1.52173913,10.9673913,2.032608696,-1.770992366,1.664122137,0.519083969
303636.4441,1.47826087,10.98913043,2.076086957,-1.312977099,1.496183206,0.671755725
303656.4331,1.423913043,11.07608696,2.086956522,-1.267175573,1.374045802,0.610687023
303676.4221,1.369565217,11.06521739,2.086956522,-2.702290076,0.687022901,0.427480916
303696.4111,1.456521739,11.05434783,2.119565217,-2.045801527,1.419847328,0.427480916
303716.4001,1.467391304,11.02173913,2.173913043,-1.435114504,2.061068702,0.564885496
303736.3892,1.413043478,11.02173913,2.141304348,-1.312977099,2.27480916,0.870229008
303756.3782,1.434782609,11.07608696,2.086956522,-0.992366412,1.618320611,0.213740458
303776.3672,1.510869565,11.15217391,2.010869565,-1.664122137,1.022900763,-0.076335878
303796.3562,1.456521739,11.17391304,1.956521739,-1.236641221,0.229007634,-0.27480916
303816.3452,1.5,10.85869565,2.010869565,-0.748091603,1.984732824,0.473282443
303836.3342,1.47826087,10.98913043,2.065217391,-0.854961832,2,0.519083969
303856.3232,1.565217391,11.08695652,2.217391304,-1.58778626,2.839694656,0.030534351
303876.3123,1.543478261,11.01086957,2.119565217,0.305343511,1.496183206,0.015267176
303896.3013,1.565217391,11.01086957,2.130434783,-0.549618321,0.977099237,0.335877863
303916.2903,1.510869565,11.05434783,2.119565217,-0.961832061,0.93129771,0.473282443
303936.2793,1.52173913,11.05434783,2.130434783,-2.427480916,1.129770992,0.305343511
303956.2683,1.510869565,11.01086957,2.152173913,-0.519083969,0.122137405,0.061068702
303976.2573,1.467391304,11,2.25,-1.160305344,2.198473282,0.259541985
303996.2463,1.5,10.97826087,2.206521739,0.41221374,2.091603053,0.122137405
304016.2354,1.5,11.11956522,2.206521739,-0.93129771,1.083969466,0.564885496
304036.2244,1.510869565,10.89130435,2.163043478,-0.79389313,0.946564885,0.687022901
304056.2134,1.489130435,10.91304348,2.097826087,-1.099236641,0.687022901,0.870229008
304076.2024,1.510869565,11.01086957,2.184782609,-1.664122137,1.832061069,0.580152672
304096.1914,1.5,10.98913043,2.152173913,-1.267175573,2.396946565,0.946564885
304116.1804,1.510869565,11.04347826,2.119565217,-0.916030534,1.465648855,0.671755725
304136.1694,1.52173913,11.07608696,2.108695652,-0.900763359,0.534351145,0.625954198
304156.1584,1.434782609,11.20652174,2.086956522,-0.442748092,-0.65648855,-0.259541985
304176.1475,1.510869565,10.82608696,2.108695652,-1.633587786,1.465648855,0
304196.1365,1.532608696,10.93478261,2.119565217,-0.183206107,1.404580153,0.641221374
304216.1255,1.565217391,11.07608696,2.25,-1.496183206,2.702290076,0.290076336
304236.1145,1.554347826,11.0326087,2.097826087,0.824427481,1.022900763,0.488549618
304256.1035,1.467391304,11.05434783,2.054347826,-0.396946565,-0.061068702,0.41221374
304276.0925,1.467391304,11.10869565,2.108695652,-0.488549618,0.427480916,0.015267176
304296.0815,1.554347826,10.95652174,2.141304348,-0.778625954,1.251908397,0.488549618
304316.0706,1.586956522,11,2.108695652,-1.099236641,1.832061069,0.396946565
304336.0596,1.565217391,10.97826087,2.239130435,-0.79389313,2.259541985,0.335877863
304356.0486,1.5,11,2.206521739,-0.167938931,2.671755725,0.41221374
304376.0376,1.5,11,2.076086957,-0.351145038,2.015267176,0.625954198
304396.0266,1.5,11.0326087,2.086956522,-1.374045802,1.801526718,1.175572519
304416.0156,1.52173913,11.02173913,2.097826087,-1.419847328,1.877862595,1.129770992
304436.0046,1.510869565,11.10869565,2.173913043,-1.816793893,1.770992366,0.687022901
304455.9937,1.532608696,11.09782609,2.141304348,-1.648854962,1.374045802,0.473282443
304475.9827,1.434782609,11,2.032608696,1.160305344,-0.061068702,0.091603053
304495.9717,1.5,11.05434783,2.130434783,-0.65648855,0.534351145,-0.061068702
304515.9607,1.510869565,11.01086957,2.086956522,0.229007634,0.106870229,0.122137405
304535.9497,1.52173913,11.01086957,2.119565217,-0.305343511,-0.625954198,0.122137405
304555.9387,1.586956522,10.93478261,2.119565217,0.045801527,-0.061068702,0.076335878
304575.9277,1.565217391,10.9673913,2.152173913,0.152671756,0.79389313,0.473282443
304595.9167,1.543478261,11.04347826,2.206521739,-0.549618321,0.503816794,0.564885496
304615.9058,1.554347826,11.05434783,2.141304348,-0.503816794,0.106870229,0.259541985
304635.8948,1.543478261,11.06521739,2.173913043,-0.305343511,0.900763359,0.015267176
304655.8838,1.5,11.01086957,2.130434783,-0.27480916,0.870229008,-0.015267176
304675.8728,1.423913043,10.9673913,2.097826087,-0.030534351,0.916030534,0.198473282
304695.8618,1.445652174,11.01086957,2.054347826,-0.335877863,1.06870229,0.183206107
304715.8508,1.434782609,11.0326087,2.065217391,-1.114503817,1.282442748,0.564885496
304735.8398,1.489130435,11.02173913,2.065217391,-1.114503817,0.900763359,0.198473282
304755.8289,1.456521739,11.04347826,2.010869565,-0.671755725,0.396946565,0.030534351
304775.8179,1.5,11.04347826,2.010869565,-0.213740458,0.473282443,-0.015267176
304795.8069,1.510869565,11.0326087,2.054347826,-0.763358779,1.145038168,0.045801527
304815.7959,1.532608696,11.05434783,2.206521739,-0.870229008,1.694656489,0.015267176
304835.7849,1.630434783,11.01086957,2.195652174,-1.526717557,3.175572519,-0.213740458
304855.7739,1.684782609,10.98913043,1.989130435,-0.488549618,4.381679389,-0.458015267
304875.7629,1.695652174,10.98913043,1.923913043,0.763358779,3.58778626,-0.65648855
304895.752,1.695652174,11.04347826,1.913043478,1.877862595,3.969465649,-0.564885496
304915.741,1.706521739,11.01086957,1.967391304,1.328244275,5.893129771,-0.41221374
304935.73,1.739130435,10.94565217,1.891304348,1.145038168,7.618320611,0.748091603
304955.719,1.77173913,10.92391304,1.913043478,2.183206107,8.977099237,1.099236641
304975.708,1.858695652,11.02173913,1.891304348,3.877862595,10.85496183,0.65648855
304995.697,1.97826087,11.07608696,1.836956522,5.511450382,13.38931298,0.610687023
305015.686,1.945652174,11.14130435,1.847826087,5.129770992,14.39694656,0.992366412
305035.675,1.760869565,11.01086957,1.869565217,3.908396947,13.48091603,1.404580153
305055.6641,1.663043478,10.90217391,1.77173913,3.450381679,13.09923664,2.106870229
305075.6531,1.75,10.86956522,1.695652174,3.72519084,13.90839695,2.213740458
305095.6421,1.739130435,10.76086957,1.608695652,7.770992366,12.10687023,1.083969466
305115.6311,1.684782609,10.72826087,1.554347826,10.7480916,10.5648855,-0.091603053
305135.6201,1.663043478,10.72826087,1.543478261,11.96946565,8.702290076,-1.801526718
305155.6091,1.619565217,10.81521739,1.576086957,12.30534351,7.832061069,-2.290076336
305175.5981,1.423913043,11.07608696,1.673913043,11.63358779,4.595419847,-3.129770992
305195.5872,1.282608696,11.30434783,1.836956522,9.419847328,2.290076336,-4.091603053
305215.5762,1.391304348,11.34782609,1.815217391,8.854961832,-0.076335878,-4.900763359
305235.5652,1.576086957,11.11956522,1.52173913,11.22137405,-2.244274809,-5.816793893
305255.5542,1.565217391,10.98913043,1.163043478,14.39694656,-7.236641221,-7.251908397
305275.5432,1.260869565,10.90217391,1.097826087,16.03053435,-11.09923664,-8.152671756
305295.5322,0.923913043,10.80434783,1.152173913,15.92366412,-13.41984733,-8.595419847
305315.5212,0.597826087,10.85869565,1.293478261,13.98473282,-18.39694656,-7.709923664
305335.5103,0.184782609,10.9673913,1.445652174,13.70992366,-30.47328244,-7.480916031
305355.4993,0.010869565,11.11956522,1.576086957,12.70229008,-38.39694656,-6.580152672
305375.4883,-0.054347826,11.29347826,1.673913043,6.076335878,-37.72519084,-4.41221374
305395.4773,0.565217391,11.17391304,1.956521739,-1.374045802,-29.03816794,-0.870229008
305415.4663,1.130434783,11.22826087,2.22826087,-4.595419847,-21.80152672,0.687022901
305435.4553,1.467391304,11.43478261,2.27173913,-5.984732824,-17.9389313,0.977099237
305455.4443,1.282608696,11.5326087,2.217391304,-7.160305344,-13.89312977,0.992366412
305475.4333,0.793478261,11.45652174,2.054347826,-10.38167939,-10.13740458,1.083969466
305495.4224,-0.032608696,11.45652174,1.782608696,-7.190839695,-12.80916031,0.534351145
305515.4114,-0.22826087,11.06521739,1.836956522,-16.79389313,-7.236641221,2.824427481
305535.4004,-0.141304348,10.5326087,1.945652174,-21.06870229,-4.946564885,6.183206107
305555.3894,0.22826087,10.34782609,2.086956522,-23.9389313,-2.244274809,7.709923664
305575.3784,0.782608696,10.2826087,2.163043478,-22.48854962,3.007633588,9.374045802
